2025-07-18 12:44:05 | ENTRY | SELL | ABCAPITAL | Price: 265.35 | Qty: 1 | Order ID: 250718200687420
2025-07-18 12:44:05 | STOPLOSS | BUY | ABCAPITAL | Price: 266.05 | Qty: 1 | Order ID: 250718200687425
2025-07-18 12:44:05 | TARGET | BUY | ABCAPITAL | Price: 263.95 | Qty: 1 | Order ID: 250718200687430
2025-07-18 12:44:10 | ENTRY | SELL | BANKBARODA | Price: 245.24 | Qty: 1 | Order ID: 250718200687569
2025-07-18 12:44:10 | STOPLOSS | BUY | BANKBARODA | Price: 245.92 | Qty: 1 | Order ID: 250718200687574
2025-07-18 12:44:10 | TARGET | BUY | BANKBARODA | Price: 243.88 | Qty: 1 | Order ID: 250718200687580
2025-07-18 12:44:11 | ENTRY | SELL | MAHABANK | Price: 56.71 | Qty: 1 | Order ID: 250718200687606
2025-07-18 12:44:11 | STOPLOSS | BUY | MAHABANK | Price: 56.86 | Qty: 1 | Order ID: 250718200687611
2025-07-18 12:44:11 | TARGET | BUY | MAHABANK | Price: 56.41 | Qty: 1 | Order ID: 250718200687612
2025-07-18 12:44:18 | ENTRY | SELL | FEDERALBNK | Price: 211.62 | Qty: 1 | Order ID: 250718200687867
2025-07-18 12:44:18 | STOPLOSS | BUY | FEDERALBNK | Price: 212.00 | Qty: 1 | Order ID: 250718200687872
2025-07-18 12:44:18 | TARGET | BUY | FEDERALBNK | Price: 210.86 | Qty: 1 | Order ID: 250718200687875
2025-07-18 12:44:21 | ENTRY | SELL | HINDALCO | Price: 674.80 | Qty: 1 | Order ID: 250718200687977
2025-07-18 12:44:21 | STOPLOSS | BUY | HINDALCO | Price: 675.85 | Qty: 1 | Order ID: 250718200687982
2025-07-18 12:44:21 | TARGET | BUY | HINDALCO | Price: 672.70 | Qty: 1 | Order ID: 250718200687987
2025-07-18 12:44:29 | ENTRY | SELL | LTF | Price: 201.67 | Qty: 1 | Order ID: 250718200688215
